id,source_numeric_id,chinese_name,pinyin,english_name
SMTS00001,1,嗳气,Ai Qi,belching
SMTS00002,2,白带色乳白,Bai Dai Se Ru Bai,leucorrhea milky white in color
SMTS00003,3,白带淸稀,Bai Dai Qing Xi,thin leucorrhea
SMTS00004,4,白带增多,Bai Dai Zeng Duo,increased leucorrhea
SMTS00005,5,白发,Bai Fa,gray hair
SMTS00006,6,白睛红赤,Bai Jing Hong Chi,redness of the white of the eye
SMTS00010,10,斑疹,Ban Zhen,macules
SMTS00011,11,斑疹紫黑,Ban Zhen Zi Hei,purple-black macules
SMTS00012,12,半身不遂,Ban Shen Bu Sui,hemiplegia
SMTS00013,13,半身麻木,Ban Shen Ma Mu,numbness in half of the body
SMTS00014,14,胞衣不下,Bao Yi Bu Xia,Remaining afterbirth
SMTS00015,15,饱胀,Bao Zhang,fullness
SMTS00016,16,暴发火眼,Bao Fa Huo Yan,acute contagious conjunctivitis
SMTS00017,17,暴厥,Bao Jue,violent seizures
SMTS00018,18,暴注下泻,Bao Zhu Xia Xie,severe diarrhea
SMTS00019,19,背冷,Bei Leng,cold back
SMTS00020,20,背酸痛,Bei Suan Tong,back pain
SMTS00021,21,背疼痛,Bei Teng Tong,Back Pain
SMTS00022,22,背痛,Bei Tong,Back Pain
SMTS00023,23,崩漏,Beng Lou,metrorrhagia
SMTS00024,24,鼻干,Bi Gan,dry nose
SMTS00025,25,鼻干燥,Bi Gan Zao,Dry nose
SMTS00026,26,鼻流清涕,Bi Liu Qing Ti,runny nose and clear discharge
SMTS00027,27,鼻流浊涕,Bi Liu Zhuo Ti,runny nose and runny nose
SMTS00028,28,鼻鸣,Bi Ming,rhinorrhoea
SMTS00029,29,鼻衄,Bi Nv,epistaxis
SMTS00030,30,鼻塞,Bi Sai,nasal congestion
SMTS00032,32,鼻痒,Bi Yang,nasal itching
SMTS00034,34,鼻燥,Bi Zao,Nasal dryness
SMTS00036,36,闭经,Bi Jing,amenorrhea
SMTS00037,37,痹病,Bi Bing,Bi disease
SMTS00038,38,痹痛,Bi Tong,numbness and pain
SMTS00039,39,臂疼痛,Bi Teng Tong,arm pain
SMTS00040,40,臂痛,Bi Tong,arm pain
SMTS00041,41,便闭,Bian Bi,constipation
SMTS00042,42,便干,Bian Gan,dry stool
SMTS00043,43,便黄而黏,Bian Huang Er Nian,yellow and sticky stool
SMTS00044,44,便结,Bian Jie,constipation
SMTS00045,45,便秘,Bian Mi,constipation
SMTS00046,46,便溏,Bian Tang,loose stools
SMTS00047,47,便溏日久,Bian Tang Ri Jiu,Prolonged loose stools
SMTS00048,48,便下脓血,Bian Xia Nong Xie,pus and blood in stool
SMTS00049,49,便泻,Bian Xie,diarrhea
SMTS00050,50,便血,Bian Xie,blood in the stool
SMTS00051,51,表虚自汗,Biao Xu Zi Han,spontaneous sweating due to superficial deficiency
SMTS00052,52,憋气,Bie Qi,breathlessness
SMTS00053,53,病后体弱,Bing Hou Ti Ruo,Weakness after illness
SMTS00054,54,病后脱发,Bing Hou Tuo Fa,hair loss after illness
SMTS00055,55,病后虚弱,Bing Hou Xu Ruo,weakness after illness
SMTS00056,56,不饥,Bu Ji,Not hungry
SMTS00057,57,不寐,Bu Mei,insomnia
SMTS00058,58,不能久视,Bu Neng Jiu Shi,Can’t look for long periods of time
SMTS00059,59,不省人事,Bu Sheng Ren Shi,unconsciousness
SMTS00060,60,不食,Bu Shi,Not eating
SMTS00061,61,不思乳食,Bu Si Ru Shi,Not wanting to eat milk
SMTS00062,62,不思饮食,Bu Si Yin Shi,Not thinking about eating
SMTS00063,63,不喜热饮,Bu Xi Re Yin,dislike hot drinks
SMTS00064,64,不育,Bu Yu,Infertility
SMTS00065,65,不欲饮食,Bu Yu Yin Shi,No desire to eat
SMTS00066,66,不孕,Bu Yun,Infertility
SMTS00067,67,步履艰难,Bu Lv Jian Nan,Hard Steps
SMTS00068,68,嘈杂,Cao Za,Noisy
SMTS00069,69,嘈杂呕吐,Cao Za Ou Tu,noisy vomiting
SMTS00070,70,嘈杂似饥,Cao Za Si Ji,noisy and hungry
SMTS00071,71,岔气,Cha Qi,Cha Qi
SMTS00072,72,岔气作痛,Cha Qi Zuo Tong,Pain caused by miscarriage of energy
SMTS00073,73,产后出血日久,Chan Hou Chu Xie Ri Jiu,Prolonged Postpartum Hemorrhage
SMTS00074,74,产后恶露不尽,Chan Hou E Lu Bu Jin,postpartum lochia
SMTS00075,75,产后腹痛,Chan Hou Fu Tong,postpartum abdominal pain
SMTS00076,76,产后流血,Chan Hou Liu Xie,Postpartum Bleeding
SMTS00077,77,产后乳房结块,Chan Hou Ru Fang Jie Kuai,postpartum breast lumps
SMTS00078,78,产后乳汁不通,Chan Hou Ru Zhi Bu Tong,Postpartum lactation obstruction
SMTS00079,79,产后乳肿,Chan Hou Ru Zhong,postpartum breast swelling
SMTS00080,80,产后少乳,Chan Hou Shao Ru,Postpartum oliguria
SMTS00081,81,产后脱发,Chan Hou Tuo Fa,postpartum hair loss
SMTS00082,82,产后小腹疼痛,Chan Hou Xiao Fu Teng Tong,postpartum lower abdominal pain
SMTS00083,83,产后血虚,Chan Hou Xie Xu,postpartum anemia
SMTS00084,84,产后血晕,Chan Hou Xie Yun,Postpartum haemorrhage
SMTS00085,85,产后瘀痛,Chan Hou Yu Tong,Postpartum blood stasis and pain
SMTS00086,86,产后诸虚,Chan Hou Zhu Xu,Postpartum deficiency
SMTS00087,87,产后子宫复旧不全,Chan Hou Zi Gong Fu Jiu Bu Quan,Postpartum uterine involution is incomplete
SMTS00088,88,肠风便血,Chang Feng Bian Xie,intestinal wind and blood in the stool
SMTS00089,89,肠风下血,Chang Feng Xia Xie,intestinal wind and bleeding
SMTS00091,91,肠鸣,Chang Ming,bowel borborygmus
SMTS00092,92,肠胃不适,Chang Wei Bu Shi,gastrointestinal discomfort
SMTS00093,93,潮热,Chao Re,hot flashes
SMTS00095,95,晨起面肿,Chen Qi Mian Zhong,swollen face in the morning
SMTS00096,96,齿鼻衄血,Chi Bi Nv Xie,Teeth and epistaxis
SMTS00097,97,齿痛,Chi Tong,toothache
SMTS00098,98,齿龈肿痛,Chi Ken Zhong Tong,gum swelling and pain
SMTS00102,102,赤缕红斑,Chi Lv Hong Ban,red streaks of erythema
SMTS00104,104,虫咬肿痛,Chong Yao Zhong Tong,"insect bites, swelling and pain"
SMTS00105,105,抽搐,Chou Chu,convulsions
SMTS00106,106,抽搐神昏,Chou Chu Shen Hun,convulsions and coma
SMTS00107,107,出血,Chu Xie,bleeding
SMTS00108,108,出血症,Chu Xie Zheng,hemorrhage
SMTS00109,109,喘,Chuan,asthma
