term,label
palms and soles）指两手两足心发热,hot
“天行赤眼”等。 目赤肿痛常见于西医学的急性结膜炎,hot
“暴风客热”,hot
“脑渊”之称。多因外感风热邪毒,hot
一曰风助火郁于上,hot
一般将虚热进一步分为阴虚火旺和气虚火旺两种病状。,hot
一般属于热在营分,hot
一般我们讲的低热是指体温超过正常,hot
三曰燥邪伤肝。戴复庵云：目赤无非血雍肝经所致,hot
上焦生热,hot
不喜欢热食,hot
不得太息……。”肺热又称风温肺热,hot
与脾胃有密切关系。病机为湿热,hot
专治疮毒的秘方药物,hot
且一日间体温波动超过1℃以上,hot
且不伴有肿瘤和炎症,hot
个别部位干燥脱皮,hot
中医病名。小儿时期感受时行邪毒引起的肺系时行疾病,hot
中医病名。本病白睛暴发红赤,hot
中医病名。湿疮是一种由多种内外因素引起的过敏性炎症性皮肤病。以多形性皮损,hot
中医病名。痄腮是因感受风温邪毒,hot
中医称大便中带血不带脓的痢疾。痢下多血或下纯血者。即血痢。《诸病源候论·痢病诸候》：“热乘于血,hot
中度热38.1～39℃,hot
中暑是指长时间暴露在高温环境中,hot
中毒,hot
中毒性神经性麻木,hot
中毒等均可导致头痛。发病年龄常见于青年,hot
临床上即可发现黄疸,hot
临床表现为发热重,hot
丹毒（erysipelas）是一种累及真皮浅层淋巴管的感染,hot
为腋以下至第十二肋骨部的总称。可由肋骨软骨炎或肋间神经痛导致。,hot
主真火所藏,hot
主要以内分泌失调与血热,hot
久而化火,hot
久而化热,hot
也不属于炎症,hot
也是一种特殊类型的慢性喉炎。最主要的临床症状为声嘶。通过喉镜检查可以做出临床诊断。治疗方式主要为手术切除治疗。若经治疗好转后,hot
也有虚实寒热之别,hot
也称为显性黄疸。,hot
也称发热,hot
习惯性抽搐。中医认为引起抽搐的病因病机主要有热毒内盛,hot
二曰火盛,hot
五心烦热（sphoria with feverish sensation in chest,hot
五志过极化火而导致血热。亦称血分热。即血分有热。证见吐衄,hot
亦可发生中毒。,hot
亦可在慢性肠炎,hot
亦可引起胃热（胃火）。中医分为热郁胃中,hot
产后发热是指产褥期内,hot
人上火之后临床症状表现为：目赤肿痛,hot
从而导致盆腔炎性包块发生。患者常先有急性输卵管炎的临床表现,hot
以发热,hot
以致关节软骨被破坏而引起的慢性关节病。又称退化性关节炎,hot
以高热,hot
以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,hot
传染性结膜炎,hot
伤风是由风邪侵袭人体引起的常见外感热病。一年四季均可发生。尤以冬春两季为多见。临床以头痛,hot
伴意识丧失。高热惊厥分为单纯性高热惊厥和复杂性高热惊厥两种。各年龄期（除新生儿期）小儿均可发生,hot
但因种种原因常以腋温为准。若腋温超过37.4℃,hot
但在38℃以下者。引起低热的原因较多,hot
但有实火与虚火的区别,hot
但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生,hot
低热,hot
低热等,hot
低热（low fever）是一种常见的症状,hot
体温中枢功能紊乱或各种原因引起的产热过多,hot
体温升高>=39℃时发生的惊厥,hot
体温超过正常,hot
使人体产生类似中毒的效应。能源耗尽学说认为,hot
便短赤是一个中医名词,hot
俗称火眼,hot
假性结膜炎以及流行性角膜炎等,hot
入里化火,hot
入黄蜡,hot
全身皮肤发黄,hot
关节炎或关节病牵涉范围非常广泛,hot
其主要的病变特征是——咽部的黏膜发炎,hot
其他器官的疾病也可引起腰痛。如泌尿系炎症或结石,hot
其寒时自寒而不觉热。与恶寒发热的寒热同时并作不同。《类证活人书》：“往来寒热者,hot
其毒液由伤口进入人体内而引起的一种急性全身性中毒性疾病。,hot
其热时自热而不觉寒,hot
其色或黄或青,hot
其色赤,hot
内有烦热的症状。这是由于热邪内伏,hot
内热进而化虚火。根据病机不同,hot
凡发热同时又有心烦,hot
出现发热持续不退,hot
出现胃部灼烧感,hot
出自《素问·刺热篇》。,hot
分别采取温补脾肾或滋养肝肾法,hot
则腋窝体温（检测10分钟）超过37℃可定为发热。,hot
则见壮热烦渴,hot
则见头痛身热,hot
初起见有身热,hot
刺激皮肉而感到疼痛：感到剧烈的烧灼样的疼痛,hot
前列腺炎,hot
动脉硬化是动脉的一种非炎症性病变,hot
助火生热,hot
劳淋六证。基本病机为湿热蕴结下焦,hot
包括炎症,hot
包括病毒性肝炎,hot
午后发热,hot
单纯性高热惊厥愈后良好,hot
即按该炎症处命名,hot
即暑热挟湿。以胸脘痞闷,hot
即火痰也。”证见烦热燥结,hot
即胃火,hot
压之无痛为临床特点。临床表现与西医学的慢性胃炎（包括浅表性胃炎和萎缩性胃炎）,hot
去腐消炎,hot
又称“风热眼”,hot
又称为发热。每个人的正常体温略有不同,hot
又称发烧。由于致热原的作用使体温调定点上移而引起的调节性体温升高（超过0.5℃）,hot
又称气阴两伤。气虚和阴虚同时并见的病理变化。常见于热性病过程中,hot
发热,hot
发热和运动受限,hot
发热恶寒等为主要证候特点。病情有轻重不同,hot
